Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 4 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
Before joining CNCF,8/23/2017,3/29/2018,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Since joining CNCF,3/29/2018,4/17/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8/23/2017,1/1/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1/1/2018,4/17/2018,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
08/2017,8/1/2017,9/1/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/2017,9/1/2017,10/1/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2017,10/1/2017,11/1/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2017,11/1/2017,12/1/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2017,12/1/2017,1/1/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/2018,1/1/2018,2/1/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/2018,2/1/2018,3/1/2018,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
03/2018,3/1/2018,4/1/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/2018,4/1/2018,5/1/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quarter from 07/2017,7/1/2017,10/1/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quarter from 10/2017,10/1/2017,1/1/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quarter from 01/2018,1/1/2018,4/1/2018,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
